,country,year,gdp_per_capita ($),suicides/100k pop,suicides/100k pop,suicides_no,suicides_no
sex,,,,female,male,female,male
0,Albania,1987,796,11.35,20.5,25,48
1,Albania,1988,769,13.55,18.91,22,41
2,Albania,1989,833,5.5200000000000005,27.88,15,53
3,Albania,1992,251,5.12,12.88,14,33
4,Albania,1993,437,9.76,22.8,27,46
5,Albania,1994,697,9.81,22.37,15,35
6,Albania,1995,835,16.06,24.49,34,54
7,Albania,1996,1127,17.46,26.16,39,50
8,Albania,1997,793,21.28,56.15,52,118
9,Albania,1998,899,20.34,46.18,58,96
10,Albania,1999,1127,25.32,44.49,48,91
11,Albania,2000,1299,10.29,20.41,16,38
12,Albania,2001,1451,16.400000000000002,34.22,35,84
13,Albania,2002,1573,16.73,45.78,42,91
14,Albania,2003,2021,29.2,29.400000000000002,51,73
15,Albania,2004,2544,24.54,40.85,57,89
16,Albania,2005,2931,0.0,0.0,0,0
17,Albania,2006,3235,0.0,0.0,0,0
18,Albania,2007,3863,21.86,43.99,47,77
19,Albania,2008,4672,28.91,42.14,61,99
20,Albania,2009,4387,0.0,0.0,0,0
21,Albania,2010,4359,15.48,26.18,35,61
22,Antigua and Barbuda,1985,3850,0.0,0.0,0,0
23,Antigua and Barbuda,1986,4740,0.0,0.0,0,0
24,Antigua and Barbuda,1987,5595,0.0,0.0,0,0
25,Antigua and Barbuda,1988,6693,0.0,0.0,0,0
26,Antigua and Barbuda,1989,7407,0.0,0.0,0,0
27,Antigua and Barbuda,1990,7744,0.0,17.24,0,1
28,Antigua and Barbuda,1991,7976,0.0,0.0,0,0
29,Antigua and Barbuda,1992,8087,0.0,0.0,0,0
30,Antigua and Barbuda,1993,8453,0.0,15.0,0,1
31,Antigua and Barbuda,1994,9062,0.0,0.0,0,0
32,Antigua and Barbuda,1995,8636,0.0,0.0,0,0
33,Antigua and Barbuda,1998,10078,0.0,0.0,0,0
34,Antigua and Barbuda,1999,10378,0.0,0.0,0,0
35,Antigua and Barbuda,2000,11021,0.0,39.97,0,2
36,Antigua and Barbuda,2001,10468,0.0,19.45,0,2
37,Antigua and Barbuda,2002,10499,0.0,0.0,0,0
38,Antigua and Barbuda,2003,10878,0.0,27.82,0,1
39,Antigua and Barbuda,2004,11535,0.0,36.06,0,2
40,Antigua and Barbuda,2005,12649,0.0,0.0,0,0
41,Antigua and Barbuda,2006,14114,0.0,0.0,0,0
42,Antigua and Barbuda,2007,15775,0.0,7.98,0,1
43,Antigua and Barbuda,2008,16238,0.0,0.0,0,0
44,Antigua and Barbuda,2009,14335,0.0,0.0,0,0
45,Antigua and Barbuda,2012,13657,0.0,0.0,0,0
46,Antigua and Barbuda,2013,13287,0.0,0.0,0,0
47,Antigua and Barbuda,2014,14093,0.0,0.0,0,0
48,Antigua and Barbuda,2015,14853,15.62,0.0,1,0
49,Argentina,1985,3264,27.25,107.22,538,1450
50,Argentina,1986,4072,32.01,120.89,641,1643
51,Argentina,1987,4026,34.42,110.56,686,1600
52,Argentina,1988,4458,32.63,113.61,665,1689
53,Argentina,1989,2670,30.58,108.35000000000001,606,1641
54,Argentina,1990,4859,29.02,105.88,595,1545
