,country,year,sex,gdp_per_capita ($),suicides/100k pop,suicides_no
22,Albania,2000,female,1299,10.29,16
23,Albania,2000,male,1299,20.41,38
24,Albania,2001,female,1451,16.400000000000002,35
25,Albania,2001,male,1451,34.22,84
26,Albania,2002,female,1573,16.73,42
27,Albania,2002,male,1573,45.78,91
28,Albania,2003,female,2021,29.2,51
29,Albania,2003,male,2021,29.400000000000002,73
30,Albania,2004,female,2544,24.54,57
31,Albania,2004,male,2544,40.85,89
32,Albania,2005,female,2931,0.0,0
33,Albania,2005,male,2931,0.0,0
34,Albania,2006,female,3235,0.0,0
35,Albania,2006,male,3235,0.0,0
36,Albania,2007,female,3863,21.86,47
37,Albania,2007,male,3863,43.99,77
38,Albania,2008,female,4672,28.91,61
39,Albania,2008,male,4672,42.14,99
40,Albania,2009,female,4387,0.0,0
41,Albania,2009,male,4387,0.0,0
42,Albania,2010,female,4359,15.48,35
43,Albania,2010,male,4359,26.18,61
70,Antigua and Barbuda,2000,female,11021,0.0,0
71,Antigua and Barbuda,2000,male,11021,39.97,2
72,Antigua and Barbuda,2001,female,10468,0.0,0
73,Antigua and Barbuda,2001,male,10468,19.45,2
74,Antigua and Barbuda,2002,female,10499,0.0,0
75,Antigua and Barbuda,2002,male,10499,0.0,0
76,Antigua and Barbuda,2003,female,10878,0.0,0
77,Antigua and Barbuda,2003,male,10878,27.82,1
78,Antigua and Barbuda,2004,female,11535,0.0,0
79,Antigua and Barbuda,2004,male,11535,36.06,2
80,Antigua and Barbuda,2005,female,12649,0.0,0
81,Antigua and Barbuda,2005,male,12649,0.0,0
82,Antigua and Barbuda,2006,female,14114,0.0,0
83,Antigua and Barbuda,2006,male,14114,0.0,0
84,Antigua and Barbuda,2007,female,15775,0.0,0
85,Antigua and Barbuda,2007,male,15775,7.98,1
86,Antigua and Barbuda,2008,female,16238,0.0,0
87,Antigua and Barbuda,2008,male,16238,0.0,0
88,Antigua and Barbuda,2009,female,14335,0.0,0
89,Antigua and Barbuda,2009,male,14335,0.0,0
90,Antigua and Barbuda,2012,female,13657,0.0,0
91,Antigua and Barbuda,2012,male,13657,0.0,0
92,Antigua and Barbuda,2013,female,13287,0.0,0
93,Antigua and Barbuda,2013,male,13287,0.0,0
94,Antigua and Barbuda,2014,female,14093,0.0,0
95,Antigua and Barbuda,2014,male,14093,0.0,0
96,Antigua and Barbuda,2015,female,14853,15.62,1
97,Antigua and Barbuda,2015,male,14853,0.0,0
128,Argentina,2000,female,8462,20.07,550
129,Argentina,2000,male,8462,111.32000000000001,2224
130,Argentina,2001,female,7900,24.46,676
131,Argentina,2001,male,7900,119.1,2456
132,Argentina,2002,female,2840,25.32,703
133,Argentina,2002,male,2840,114.10000000000001,2459
134,Argentina,2003,female,3668,24.740000000000002,684
135,Argentina,2003,male,3668,121.55,2605
136,Argentina,2004,female,4683,22.5,654
137,Argentina,2004,male,4683,108.56,2467
138,Argentina,2005,female,5590,23.24,664
139,Argentina,2005,male,5590,104.94,2394
140,Argentina,2006,female,6475,19.64,612
141,Argentina,2006,male,6475,108.58,2496
142,Argentina,2007,female,7918,19.07,600
143,Argentina,2007,male,7918,99.28,2346
144,Argentina,2008,female,9843,19.21,611
145,Argentina,2008,male,9843,98.89999999999999,2448
146,Argentina,2009,female,8961,17.81,584
147,Argentina,2009,male,8961,89.51,2300
148,Argentina,2010,female,11273,17.4,566
149,Argentina,2010,male,11273,93.84,2377
150,Argentina,2011,female,13946,17.54,583
151,Argentina,2011,male,13946,88.33,2329
152,Argentina,2012,female,14203,18.77,628
153,Argentina,2012,male,14203,101.05,2620
154,Argentina,2013,female,14206,17.32,589
155,Argentina,2013,male,14206,86.1,2398
156,Argentina,2014,female,13400,19.48,687
157,Argentina,2014,male,13400,91.87,2544
158,Argentina,2015,female,14981,17.259999999999998,604
159,Argentina,2015,male,14981,94.87,2469
180,Armenia,2000,female,530,10.5,14
181,Armenia,2000,male,530,23.8,47
182,Armenia,2001,female,587,8.3,12
183,Armenia,2001,male,587,21.48,48
184,Armenia,2002,female,788,4.97,12
185,Armenia,2002,male,788,33.1,62
186,Armenia,2003,female,928,6.6,9
187,Armenia,2003,male,928,26.830000000000002,50
188,Armenia,2006,female,2310,7.930000000000001,17
189,Armenia,2006,male,2310,35.74,61
190,Armenia,2007,female,3366,7.42,20
191,Armenia,2007,male,3366,31.599999999999998,51
192,Armenia,2008,female,3829,5.62,19
193,Armenia,2008,male,3829,29.53,44
194,Armenia,2009,female,3215,4.38,10
195,Armenia,2009,male,3215,29.32,43
196,Armenia,2010,female,3460,8.74,19
197,Armenia,2010,male,3460,31.67,54
198,Armenia,2011,female,3798,10.34,16
199,Armenia,2011,male,3798,22.64,51
200,Armenia,2012,female,3773,8.7,20
201,Armenia,2012,male,3773,27.87,59
202,Armenia,2013,female,3957,12.059999999999999,24
203,Armenia,2013,male,3957,25.419999999999998,43
204,Armenia,2014,female,4142,9.44,15
205,Armenia,2014,male,4142,27.57,43
206,Armenia,2015,female,3775,9.76,19
207,Armenia,2015,male,3775,35.519999999999996,55
208,Armenia,2016,female,3788,5.87,14
209,Armenia,2016,male,3788,34.69,53
214,Aruba,2000,female,22333,146.22,4
215,Aruba,2000,male,22333,159.10999999999999,6
216,Aruba,2001,female,22317,0.0,0
217,Aruba,2001,male,22317,27.28,4
218,Aruba,2002,female,21987,0.0,0
219,Aruba,2002,male,21987,126.46000000000001,9
220,Aruba,2003,female,22345,0.0,0
221,Aruba,2003,male,22345,12.93,2
222,Aruba,2004,female,24133,15.04,1
223,Aruba,2004,male,24133,161.68,7
224,Aruba,2005,female,24870,52.22,5
225,Aruba,2005,male,24870,47.36,5
226,Aruba,2006,female,25622,10.93,2
227,Aruba,2006,male,25622,85.38,7
228,Aruba,2007,female,27672,11.17,1
229,Aruba,2007,male,27672,81.02,7
230,Aruba,2008,female,29447,5.5,1
231,Aruba,2008,male,29447,35.940000000000005,3
232,Aruba,2009,female,26361,0.0,0
233,Aruba,2009,male,26361,42.230000000000004,4
234,Aruba,2010,female,25974,9.82,1
235,Aruba,2010,male,25974,48.83,6
236,Aruba,2011,female,27066,25.450000000000003,2
237,Aruba,2011,male,27066,67.97,7
268,Australia,2000,female,23219,31.34,505
269,Australia,2000,male,23219,126.48,1886
270,Australia,2001,female,20860,31.53,522
271,Australia,2001,male,20860,127.26,1936
272,Australia,2002,female,21474,30.1,506
273,Australia,2002,male,21474,114.58,1813
274,Australia,2003,female,25059,26.98,471
275,Australia,2003,male,25059,106.86,1685
276,Australia,2004,female,32454,26.43,442
277,Australia,2004,male,32454,107.33,1672
278,Australia,2006,female,39014,28.67,494
279,Australia,2006,male,39014,99.22,1623
280,Australia,2007,female,43171,28.73,530
281,Australia,2007,male,43171,101.52,1699
282,Australia,2008,female,52315,26.2,508
283,Australia,2008,male,52315,104.28999999999999,1833
284,Australia,2009,female,45128,29.52,552
285,Australia,2009,male,45128,100.6,1785
286,Australia,2010,female,54887,29.07,553
287,Australia,2010,male,54887,103.57000000000001,1867
288,Australia,2011,female,66770,30.64,580
289,Australia,2011,male,66770,102.58,1812
290,Australia,2012,female,72669,34.01,650
291,Australia,2012,male,72669,105.56,1930
292,Australia,2013,female,72856,33.08,664
293,Australia,2013,male,72856,105.7,1944
294,Australia,2014,female,66809,34.88,709
295,Australia,2014,male,66809,114.19,2182
296,Australia,2015,female,60656,35.94,735
297,Australia,2015,male,60656,118.24,2292
328,Austria,2000,female,25922,63.94,432
329,Austria,2000,male,25922,225.83,1156
330,Austria,2001,female,25848,60.0,408
331,Austria,2001,male,25848,201.91,1081
332,Austria,2002,female,27772,51.88,363
333,Austria,2002,male,27772,225.04,1190
334,Austria,2003,female,33889,55.62,388
335,Austria,2003,male,33889,201.44,1068
336,Austria,2004,female,38711,49.09,346
337,Austria,2004,male,38711,204.95,1076
338,Austria,2005,female,40367,49.84,350
339,Austria,2005,male,40367,185.41,1049
340,Austria,2006,female,42698,43.120000000000005,297
341,Austria,2006,male,42698,175.78,1000
342,Austria,2007,female,49218,45.48,317
343,Austria,2007,male,49218,171.82999999999998,968
344,Austria,2008,female,54294,41.98,304
345,Austria,2008,male,54294,174.47,963
346,Austria,2009,female,50356,41.69,306
347,Austria,2009,male,50356,171.53,972
348,Austria,2010,female,49181,39.71,294
349,Austria,2010,male,49181,167.84,970
350,Austria,2011,female,53923,41.92,313
351,Austria,2011,male,53923,169.57000000000002,975
352,Austria,2012,female,50979,39.839999999999996,289
353,Austria,2012,male,50979,166.79,987
354,Austria,2013,female,53229,43.49,324
355,Austria,2013,male,53229,168.63,967
356,Austria,2014,female,54278,44.12,324
357,Austria,2014,male,54278,165.70000000000002,990
358,Austria,2015,female,46484,39.14,290
359,Austria,2015,male,46484,155.48,961
360,Austria,2016,female,46976,37.6,295
361,Austria,2016,male,46976,145.63,906
382,Azerbaijan,2000,female,711,4.4799999999999995,16
383,Azerbaijan,2000,male,711,9.93,46
384,Azerbaijan,2001,female,759,18.66,81
385,Azerbaijan,2001,male,759,41.39,236
386,Azerbaijan,2002,female,820,3.82,19
387,Azerbaijan,2002,male,820,15.6,73
388,Azerbaijan,2003,female,948,8.6,36
389,Azerbaijan,2003,male,948,18.47,93
390,Azerbaijan,2004,female,1122,8.32,30
391,Azerbaijan,2004,male,1122,10.01,78
392,Azerbaijan,2007,female,4172,2.32,14
393,Azerbaijan,2007,male,4172,9.51,41
412,Bahamas,2000,female,29942,10.35,2
413,Bahamas,2000,male,29942,30.310000000000002,9
414,Bahamas,2001,female,30122,0.0,0
415,Bahamas,2001,male,30122,2.68,1
416,Bahamas,2002,female,31432,0.0,0
417,Bahamas,2002,male,31432,9.969999999999999,3
418,Bahamas,2003,female,30704,0.0,0
419,Bahamas,2003,male,30704,2.49,1
420,Bahamas,2004,female,30671,0.0,0
421,Bahamas,2004,male,30671,5.93,2
