,year,female,male,Latitude,Longitude
Albania,1987,25,48,1.2315264,-75.89204331320687
Albania,1988,22,41,1.2315264,-75.89204331320687
Albania,1989,15,53,1.2315264,-75.89204331320687
Albania,1992,14,33,1.2315264,-75.89204331320687
Albania,1993,27,46,1.2315264,-75.89204331320687
Albania,1994,15,35,1.2315264,-75.89204331320687
Albania,1995,34,54,1.2315264,-75.89204331320687
Albania,1996,39,50,1.2315264,-75.89204331320687
Albania,1997,52,118,1.2315264,-75.89204331320687
Albania,1998,58,96,1.2315264,-75.89204331320687
Albania,1999,48,91,1.2315264,-75.89204331320687
Albania,2000,16,38,1.2315264,-75.89204331320687
Albania,2001,35,84,1.2315264,-75.89204331320687
Albania,2002,42,91,1.2315264,-75.89204331320687
Albania,2003,51,73,1.2315264,-75.89204331320687
Albania,2004,57,89,1.2315264,-75.89204331320687
Albania,2005,0,0,1.2315264,-75.89204331320687
Albania,2006,0,0,1.2315264,-75.89204331320687
Albania,2007,47,77,1.2315264,-75.89204331320687
Albania,2008,61,99,1.2315264,-75.89204331320687
Albania,2009,0,0,1.2315264,-75.89204331320687
Albania,2010,35,61,1.2315264,-75.89204331320687
Antigua and Barbuda,1985,0,0,17.2234721,-61.9554608
Antigua and Barbuda,1986,0,0,17.2234721,-61.9554608
Antigua and Barbuda,1987,0,0,17.2234721,-61.9554608
Antigua and Barbuda,1988,0,0,17.2234721,-61.9554608
Antigua and Barbuda,1989,0,0,17.2234721,-61.9554608
Antigua and Barbuda,1990,0,1,17.2234721,-61.9554608
Antigua and Barbuda,1991,0,0,17.2234721,-61.9554608
Antigua and Barbuda,1992,0,0,17.2234721,-61.9554608
Antigua and Barbuda,1993,0,1,17.2234721,-61.9554608
Antigua and Barbuda,1994,0,0,17.2234721,-61.9554608
Antigua and Barbuda,1995,0,0,17.2234721,-61.9554608
Antigua and Barbuda,1998,0,0,17.2234721,-61.9554608
Antigua and Barbuda,1999,0,0,17.2234721,-61.9554608
Antigua and Barbuda,2000,0,2,17.2234721,-61.9554608
Antigua and Barbuda,2001,0,2,17.2234721,-61.9554608
Antigua and Barbuda,2002,0,0,17.2234721,-61.9554608
Antigua and Barbuda,2003,0,1,17.2234721,-61.9554608
Antigua and Barbuda,2004,0,2,17.2234721,-61.9554608
Antigua and Barbuda,2005,0,0,17.2234721,-61.9554608
Antigua and Barbuda,2006,0,0,17.2234721,-61.9554608
Antigua and Barbuda,2007,0,1,17.2234721,-61.9554608
Antigua and Barbuda,2008,0,0,17.2234721,-61.9554608
Antigua and Barbuda,2009,0,0,17.2234721,-61.9554608
Antigua and Barbuda,2012,0,0,17.2234721,-61.9554608
Antigua and Barbuda,2013,0,0,17.2234721,-61.9554608
Antigua and Barbuda,2014,0,0,17.2234721,-61.9554608
Antigua and Barbuda,2015,1,0,17.2234721,-61.9554608
Argentina,1985,538,1450,-34.9964963,-64.9672817
Argentina,1986,641,1643,-34.9964963,-64.9672817
Argentina,1987,686,1600,-34.9964963,-64.9672817
Argentina,1988,665,1689,-34.9964963,-64.9672817
Argentina,1989,606,1641,-34.9964963,-64.9672817
Argentina,1990,595,1545,-34.9964963,-64.9672817
Argentina,1991,499,1452,-34.9964963,-64.9672817
Argentina,1992,504,1680,-34.9964963,-64.9672817
Argentina,1993,493,1737,-34.9964963,-64.9672817
Argentina,1994,510,1731,-34.9964963,-64.9672817
Argentina,1995,504,1700,-34.9964963,-64.9672817
Argentina,1996,532,1697,-34.9964963,-64.9672817
Argentina,1997,539,1645,-34.9964963,-64.9672817
Argentina,1998,526,1821,-34.9964963,-64.9672817
Argentina,1999,493,1930,-34.9964963,-64.9672817
Argentina,2000,550,2224,-34.9964963,-64.9672817
Argentina,2001,676,2456,-34.9964963,-64.9672817
Argentina,2002,703,2459,-34.9964963,-64.9672817
Argentina,2003,684,2605,-34.9964963,-64.9672817
Argentina,2004,654,2467,-34.9964963,-64.9672817
Argentina,2005,664,2394,-34.9964963,-64.9672817
Argentina,2006,612,2496,-34.9964963,-64.9672817
Argentina,2007,600,2346,-34.9964963,-64.9672817
Argentina,2008,611,2448,-34.9964963,-64.9672817
Argentina,2009,584,2300,-34.9964963,-64.9672817
Argentina,2010,566,2377,-34.9964963,-64.9672817
Argentina,2011,583,2329,-34.9964963,-64.9672817
Argentina,2012,628,2620,-34.9964963,-64.9672817
Argentina,2013,589,2398,-34.9964963,-64.9672817
Argentina,2014,687,2544,-34.9964963,-64.9672817
Argentina,2015,604,2469,-34.9964963,-64.9672817
Armenia,1990,29,64,4.491976149999999,-75.74135085294314
Armenia,1991,26,54,4.491976149999999,-75.74135085294314
Armenia,1992,19,64,4.491976149999999,-75.74135085294314
Armenia,1993,35,71,4.491976149999999,-75.74135085294314
Armenia,1994,36,76,4.491976149999999,-75.74135085294314
Armenia,1995,35,95,4.491976149999999,-75.74135085294314
Armenia,1996,24,63,4.491976149999999,-75.74135085294314
Armenia,1997,15,62,4.491976149999999,-75.74135085294314
Armenia,1998,18,48,4.491976149999999,-75.74135085294314
Armenia,1999,18,49,4.491976149999999,-75.74135085294314
Armenia,2000,14,47,4.491976149999999,-75.74135085294314
Armenia,2001,12,48,4.491976149999999,-75.74135085294314
Armenia,2002,12,62,4.491976149999999,-75.74135085294314
Armenia,2003,9,50,4.491976149999999,-75.74135085294314
Armenia,2006,17,61,4.491976149999999,-75.74135085294314
Armenia,2007,20,51,4.491976149999999,-75.74135085294314
Armenia,2008,19,44,4.491976149999999,-75.74135085294314
Armenia,2009,10,43,4.491976149999999,-75.74135085294314
Armenia,2010,19,54,4.491976149999999,-75.74135085294314
Armenia,2011,16,51,4.491976149999999,-75.74135085294314
Armenia,2012,20,59,4.491976149999999,-75.74135085294314
Armenia,2013,24,43,4.491976149999999,-75.74135085294314
Armenia,2014,15,43,4.491976149999999,-75.74135085294314
Armenia,2015,19,55,4.491976149999999,-75.74135085294314
Armenia,2016,14,53,4.491976149999999,-75.74135085294314
Aruba,1995,0,8,12.51756625,-69.98186415210564
Aruba,1999,0,9,12.51756625,-69.98186415210564
Aruba,2000,4,6,12.51756625,-69.98186415210564
Aruba,2001,0,4,12.51756625,-69.98186415210564
Aruba,2002,0,9,12.51756625,-69.98186415210564
Aruba,2003,0,2,12.51756625,-69.98186415210564
Aruba,2004,1,7,12.51756625,-69.98186415210564
Aruba,2005,5,5,12.51756625,-69.98186415210564
Aruba,2006,2,7,12.51756625,-69.98186415210564
Aruba,2007,1,7,12.51756625,-69.98186415210564
Aruba,2008,1,3,12.51756625,-69.98186415210564
Aruba,2009,0,4,12.51756625,-69.98186415210564
Aruba,2010,1,6,12.51756625,-69.98186415210564
Aruba,2011,2,7,12.51756625,-69.98186415210564
Australia,1985,425,1436,-24.7761086,134.755
